TimeStamp	GazePointXLeft	GazePointYLeft	PupilLeft	ValidityLeft	GazePointXRight	GazePointYRight	PupilRight	ValidityRight	GazePointX	GazePointY
0.0	-0.0640	-0.0361	4.5173	1	-0.0657	-0.0365	4.1575	1	-0.0648	-0.0363
3.4	nan	nan	nan	0	nan	nan	nan	0	nan	nan
6.7	nan	nan	nan	0	nan	nan	nan	0	nan	nan
10.0	-0.0206	-0.0340	4.5122	1	-0.0129	-0.0355	4.1411	1	-0.0168	-0.0348
13.3	-0.0143	-0.0303	4.5247	1	-0.0104	-0.0337	4.1390	1	-0.0123	-0.0320
16.7	-0.0105	-0.0270	4.5064	1	-0.0101	-0.0287	4.1270	1	-0.0103	-0.0279
20.0	-0.0141	-0.0289	4.5211	1	-0.0105	-0.0240	4.1277	1	-0.0123	-0.0264
23.4	-0.0128	-0.0292	4.5153	1	-0.0135	-0.0304	4.1343	1	-0.0132	-0.0298
26.6	-0.0137	-0.0279	4.5270	1	-0.0147	-0.0305	4.1454	1	-0.0142	-0.0292
30.0	-0.0135	-0.0304	4.5225	1	-0.0145	-0.0294	4.1245	1	-0.0140	-0.0299
33.3	-0.0148	-0.0291	4.5244	1	-0.0162	-0.0319	4.1427	1	-0.0155	-0.0305
36.7	-0.0177	-0.0313	4.5253	1	-0.0150	-0.0277	4.1332	1	-0.0163	-0.0295
40.0	-0.0162	-0.0310	4.5216	1	-0.0166	-0.0294	4.1420	1	-0.0164	-0.0302
43.3	-0.0173	-0.0325	4.5225	1	-0.0150	-0.0333	4.1421	1	-0.0162	-0.0329
46.7	-0.0163	-0.0304	4.5269	1	-0.0153	-0.0325	4.1417	1	-0.0158	-0.0315
50.0	-0.0142	-0.0341	4.5309	1	-0.0107	-0.0301	4.1451	1	-0.0124	-0.0321
53.3	-0.0128	-0.0324	4.5186	1	-0.0114	-0.0274	4.1397	1	-0.0121	-0.0299
56.6	-0.0130	-0.0329	4.5191	1	-0.0110	-0.0243	4.1329	1	-0.0120	-0.0286
60.0	-0.0100	-0.0298	4.5238	1	-0.0126	-0.0330	4.1540	1	-0.0113	-0.0314
63.3	-0.0149	-0.0281	4.5130	1	-0.0124	-0.0359	4.1490	1	-0.0137	-0.0320
66.6	-0.0127	-0.0270	4.5246	1	-0.0131	-0.0334	4.1522	1	-0.0129	-0.0302
70.0	-0.0137	-0.0266	4.5104	1	-0.0090	-0.0318	4.1393	1	-0.0114	-0.0292
73.3	-0.0130	-0.0257	4.5177	1	-0.0101	-0.0366	4.1588	1	-0.0116	-0.0311
76.7	-0.0090	-0.0246	4.5146	1	-0.0122	-0.0329	4.1468	1	-0.0106	-0.0288
80.0	-0.0133	-0.0231	4.5213	1	-0.0158	-0.0384	4.1585	1	-0.0146	-0.0308
83.3	-0.0130	-0.0250	4.5350	1	-0.0091	-0.0298	4.1441	1	-0.0111	-0.0274
86.6	-0.0125	-0.0222	4.5281	1	-0.0111	-0.0277	4.1520	1	-0.0118	-0.0249
90.0	-0.0137	-0.0288	4.5304	1	-0.0096	-0.0273	4.1414	1	-0.0117	-0.0281
93.4	-0.0122	-0.0271	4.5384	1	-0.0108	-0.0300	4.1542	1	-0.0115	-0.0286
